Saison,Parcelle,Espèce,Age,Pénalité,Dates plantation,Plants,Plants Productifs,Taux de Productivité (%),Poids produit (g),Nombre de truffe,Poids moyen (g),Production au plant (g),Plants Non-Productifs à Nouveau,Expected_Production,State_Space_Forecast,Total_Expected_Production,Total_State_Space_Forecast
2025 - 2026,H,Chêne pubescent,2,,01/03/2024,305,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,11.884726116914795,1.1884726116914797
2025 - 2026,H,Chêne pubescent,4,,10/10/2021,6,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,16.483253813147357,1.6483253813147356
2025 - 2026,H,Chêne pubescent,6,-1: planted outside October -> March,17/04/2018,1468,11,0.75,440,17,25,0,2,18.81103507739222,1.881103507739222,10000.0,2761.4599493611777
2025 - 2026,H,Chêne pubescent,6,,22/11/2019,22,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,413.84277170262885,41.384277170262884
2025 - 2026,H,Chêne pédonculé,2,,01/03/2024,65,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,2.5328104839326615,0.25328104839326615
2025 - 2026,H,Chêne pédonculé,3,-1: planted outside December -> March,10/10/2021,1,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,0.496401939767995,0.0496401939767995
2025 - 2026,H,Chêne pédonculé,5,-1: planted outside December -> March,22/11/2019,7,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,60.75677726963868,6.075677726963868
2025 - 2026,H,Chêne pédonculé,6,-1: planted outside December -> March,17/04/2018,417,5,1.2,173,7,24,0,0,18.81103507739222,1.881103507739222,7844.201627272555,784.4201627272556
2025 - 2026,I,Charme commun,2,,01/03/2024,56,0,0.0,0,0,0,0,0,0.03896631513742556,0.02693666960821021,2.1821136476958314,1.508453498059772
2025 - 2026,I,Charme commun,6,-1: planted outside November -> March,27/04/2018,549,57,10.38,3493,107,32,6,1,18.81103507739222,13.003709359766896,10000.0,7139.036438512026
2025 - 2026,I,Chêne chevelu,2,,01/03/2024,20,0,0.0,0,0,0,0,0,0.03896631513742556,0.024691947140859365,0.7793263027485111,0.4938389428171873
2025 - 2026,I,Chêne chevelu,4,,10/10/2021,6,0,0.0,0,0,0,0,0,2.7472089688578927,1.7408353446996099,16.483253813147357,10.44501206819766
2025 - 2026,I,Chêne chevelu,6,-1: planted outside October -> March,27/04/2018,462,65,14.07,5273,171,30,11,1,18.81103507739222,11.920066913119657,8690.698205755205,5507.070913861281
2025 - 2026,I,Chêne chevelu,6,,22/11/2019,22,1,4.55,20,1,20,0,0,18.81103507739222,11.920066913119657,413.84277170262885,262.24147208863246
